text,label,channel,platform,source
http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,phishing,social,youtube,Youtube01-Psy
go here to check the views :3﻿,legitimate,social,youtube,Youtube01-Psy
thumbs up if u checked this video to see hw views it got﻿,legitimate,social,youtube,Youtube01-Psy
Plz subscribe to my channel and I will subscribe back xx﻿,phishing,social,youtube,Youtube01-Psy
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,legitimate,social,youtube,Youtube01-Psy
This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,legitimate,social,youtube,Youtube01-Psy
https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,phishing,social,youtube,Youtube01-Psy
get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,phishing,social,youtube,Youtube01-Psy
Pls follow this channel!! http://www.twitch.tv/sevadus﻿,phishing,social,youtube,Youtube01-Psy
hi guys check my youtube channel﻿,phishing,social,youtube,Youtube01-Psy
Subscribe and like to me for more how to videos on minecraft!﻿,phishing,social,youtube,Youtube01-Psy
http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,phishing,social,youtube,Youtube01-Psy
Subscribe ME!﻿,phishing,social,youtube,Youtube01-Psy
Im just to check how much views it has﻿,legitimate,social,youtube,Youtube01-Psy
The first comment is chuck norrus ovbiously :D﻿,legitimate,social,youtube,Youtube01-Psy
Behold the most viewed youtube video in the history of ever﻿,legitimate,social,youtube,Youtube01-Psy
when is this gonna hit 2 billion?﻿,legitimate,social,youtube,Youtube01-Psy
the most viewed youtube video of all time?﻿,legitimate,social,youtube,Youtube01-Psy
"969,210 dislikes like dislike themselves﻿",legitimate,social,youtube,Youtube01-Psy
psy=korean﻿,legitimate,social,youtube,Youtube01-Psy
"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",legitimate,social,youtube,Youtube01-Psy
"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",legitimate,social,youtube,Youtube01-Psy
It's been back for quite a while now.,legitimate,social,youtube,Youtube01-Psy
2 Billions in 2014,legitimate,social,youtube,Youtube01-Psy
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,phishing,social,youtube,Youtube01-Psy
Sub my channel!﻿,phishing,social,youtube,Youtube01-Psy
http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,phishing,social,youtube,Youtube01-Psy
http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,phishing,social,youtube,Youtube01-Psy
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",phishing,social,youtube,Youtube01-Psy
http://hackfbaccountlive.com/?ref=4604617﻿,phishing,social,youtube,Youtube01-Psy
"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",phishing,social,youtube,Youtube01-Psy
-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,phishing,social,youtube,Youtube01-Psy
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",phishing,social,youtube,Youtube01-Psy
http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,phishing,social,youtube,Youtube01-Psy
Admit it you just came here to check the number of viewers ﻿,legitimate,social,youtube,Youtube01-Psy
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",legitimate,social,youtube,Youtube01-Psy
Check my first video out﻿,phishing,social,youtube,Youtube01-Psy
Check my channel﻿,phishing,social,youtube,Youtube01-Psy
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,legitimate,social,youtube,Youtube01-Psy
Suscribe My Channel Please XD lol﻿,phishing,social,youtube,Youtube01-Psy
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,legitimate,social,youtube,Youtube01-Psy
http://binbox.io/1FIRo#123﻿,phishing,social,youtube,Youtube01-Psy
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,legitimate,social,youtube,Youtube01-Psy
https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,phishing,social,youtube,Youtube01-Psy
There is one video on my channel about my brother...﻿,phishing,social,youtube,Youtube01-Psy
"Check my channel, please!﻿",phishing,social,youtube,Youtube01-Psy
"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",phishing,social,youtube,Youtube01-Psy
Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,legitimate,social,youtube,Youtube01-Psy
Plizz withing my channel ﻿,phishing,social,youtube,Youtube01-Psy
I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,phishing,social,youtube,Youtube01-Psy
Please help me go here http://www.gofundme.com/littlebrother﻿,phishing,social,youtube,Youtube01-Psy
Anybody who subscribes to me will get 10 subscribers﻿,phishing,social,youtube,Youtube01-Psy
http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,phishing,social,youtube,Youtube01-Psy
"My videos are half way decent, check them out if you want.﻿",phishing,social,youtube,Youtube01-Psy
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",legitimate,social,youtube,Youtube01-Psy
subscribe to itz recaps and above diddle﻿,phishing,social,youtube,Youtube01-Psy
Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,legitimate,social,youtube,Youtube01-Psy
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,phishing,social,youtube,Youtube01-Psy
Sub to my channel visuelgamingzNL I sub back﻿,phishing,social,youtube,Youtube01-Psy
please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,phishing,social,youtube,Youtube01-Psy
sub me if you dont like the song﻿,phishing,social,youtube,Youtube01-Psy
This is a weird video.﻿,legitimate,social,youtube,Youtube01-Psy
8 million likes xD even the subscribers not 8 million xD﻿,legitimate,social,youtube,Youtube01-Psy
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,phishing,social,youtube,Youtube01-Psy
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,phishing,social,youtube,Youtube01-Psy
This song never gets old love it.﻿,legitimate,social,youtube,Youtube01-Psy
gofundme.com/grwmps﻿,phishing,social,youtube,Youtube01-Psy
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",phishing,social,youtube,Youtube01-Psy
#2012bitches﻿,legitimate,social,youtube,Youtube01-Psy
Made in china....﻿,legitimate,social,youtube,Youtube01-Psy
5 milions comentars and 2 bilion views﻿,legitimate,social,youtube,Youtube01-Psy
It is 0 zero﻿,legitimate,social,youtube,Youtube01-Psy
Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,legitimate,social,youtube,Youtube01-Psy
This has had over 2 billion views.  Holy shit.﻿,legitimate,social,youtube,Youtube01-Psy
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",legitimate,social,youtube,Youtube01-Psy
Suscribe my channel please﻿,phishing,social,youtube,Youtube01-Psy
"2,124923004 wiews... wow﻿",legitimate,social,youtube,Youtube01-Psy
guys please subscribe me to help my channel grow please guys﻿,phishing,social,youtube,Youtube01-Psy
Great music anyway﻿,legitimate,social,youtube,Youtube01-Psy
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",legitimate,social,youtube,Youtube01-Psy
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,phishing,social,youtube,Youtube01-Psy
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",phishing,social,youtube,Youtube01-Psy
Can somebody wake me up when we get to 3 billion views.﻿,legitimate,social,youtube,Youtube01-Psy
PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,legitimate,social,youtube,Youtube01-Psy
Justin bieber = gay ﻿,legitimate,social,youtube,Youtube01-Psy
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,legitimate,social,youtube,Youtube01-Psy
❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,legitimate,social,youtube,Youtube01-Psy
"Ahhh, 2 years ago....﻿",legitimate,social,youtube,Youtube01-Psy
"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",phishing,social,youtube,Youtube01-Psy
"check out ""starlitnightsky"" channel to see epic videos﻿",phishing,social,youtube,Youtube01-Psy
https://www.tsu.co/KodysMan plz ^^﻿,phishing,social,youtube,Youtube01-Psy
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,legitimate,social,youtube,Youtube01-Psy
http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,phishing,social,youtube,Youtube01-Psy
check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,phishing,social,youtube,Youtube01-Psy
pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,phishing,social,youtube,Youtube01-Psy
Add me here...https://www.facebook.com/TLouXmusic﻿,phishing,social,youtube,Youtube01-Psy
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,phishing,social,youtube,Youtube01-Psy
I think this is now a place to promote channels in the comment section lol.﻿,legitimate,social,youtube,Youtube01-Psy
Get free gift cards and pay pal money!﻿,phishing,social,youtube,Youtube01-Psy
Check out pivot animations in my channel﻿,phishing,social,youtube,Youtube01-Psy
Follow me on twitter &amp; IG : __killuminati94﻿,phishing,social,youtube,Youtube01-Psy
Check me out I'm all about gaming ﻿,phishing,social,youtube,Youtube01-Psy
Oppa! Yeah! Best Song!﻿,legitimate,social,youtube,Youtube01-Psy
More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,phishing,social,youtube,Youtube01-Psy
https://www.facebook.com/teeLaLaLa﻿,phishing,social,youtube,Youtube01-Psy
http://www.twitch.tv/zxlightsoutxz﻿,phishing,social,youtube,Youtube01-Psy
reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,phishing,social,youtube,Youtube01-Psy
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,phishing,social,youtube,Youtube01-Psy
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",phishing,social,youtube,Youtube01-Psy
Follow me on Twitter @mscalifornia95﻿,phishing,social,youtube,Youtube01-Psy
😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,legitimate,social,youtube,Youtube01-Psy
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,legitimate,social,youtube,Youtube01-Psy
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,phishing,social,youtube,Youtube01-Psy
Incmedia.org where the truth meets you.﻿,phishing,social,youtube,Youtube01-Psy
look at my channel i make minecraft pe lets play ﻿,phishing,social,youtube,Youtube01-Psy
I found out this song now﻿,legitimate,social,youtube,Youtube01-Psy
2 BILLION!!!﻿,legitimate,social,youtube,Youtube01-Psy
Song name??﻿,legitimate,social,youtube,Youtube01-Psy
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,phishing,social,youtube,Youtube01-Psy
hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,phishing,social,youtube,Youtube01-Psy
http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,phishing,social,youtube,Youtube01-Psy
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",legitimate,social,youtube,Youtube01-Psy
Subscribe to me and I'll subscribe back!!!﻿,phishing,social,youtube,Youtube01-Psy
http://flipagram.com/f/LUkA1QMrhF﻿,phishing,social,youtube,Youtube01-Psy
For Christmas Song visit my channel! ;)﻿,phishing,social,youtube,Youtube01-Psy
http://www.gofundme.com/gvr7xg﻿,phishing,social,youtube,Youtube01-Psy
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,phishing,social,youtube,Youtube01-Psy
https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,phishing,social,youtube,Youtube01-Psy
https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,phishing,social,youtube,Youtube01-Psy
https://www.surveymonkey.com/s/CVHMKLT﻿,phishing,social,youtube,Youtube01-Psy
Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,phishing,social,youtube,Youtube01-Psy
Please subscribe to me﻿,phishing,social,youtube,Youtube01-Psy
"This is the best, funny and viral video of history (youtube) THE TRUE﻿",legitimate,social,youtube,Youtube01-Psy
Please check out my vidios﻿,phishing,social,youtube,Youtube01-Psy
OPPA GANGNAM STYLE!!!﻿,legitimate,social,youtube,Youtube01-Psy
"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",legitimate,social,youtube,Youtube01-Psy
OPPA &lt;3﻿,legitimate,social,youtube,Youtube01-Psy
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,legitimate,social,youtube,Youtube01-Psy
most viewed video in the world﻿,legitimate,social,youtube,Youtube01-Psy
I'm here to check the views.. holy shit﻿,legitimate,social,youtube,Youtube01-Psy
"Dear person reading this, You are beautiful and loving Have a great day﻿",legitimate,social,youtube,Youtube01-Psy
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,phishing,social,youtube,Youtube01-Psy
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,phishing,social,youtube,Youtube01-Psy
The Guy in the yellow suit kinda looks like Jae-suk ﻿,legitimate,social,youtube,Youtube01-Psy
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",phishing,social,youtube,Youtube01-Psy
How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,legitimate,social,youtube,Youtube01-Psy
WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,legitimate,social,youtube,Youtube01-Psy
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,legitimate,social,youtube,Youtube01-Psy
What is he saying?!?!?!?!?!?!?!?$? ﻿,legitimate,social,youtube,Youtube01-Psy
this has so many views﻿,legitimate,social,youtube,Youtube01-Psy
OMG over 2 billion views!﻿,legitimate,social,youtube,Youtube01-Psy
Subscribe to me plz plz plz plz plz plZ ﻿,phishing,social,youtube,Youtube01-Psy
http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,phishing,social,youtube,Youtube01-Psy
"i am 2,126,492,636 viewer :D﻿",legitimate,social,youtube,Youtube01-Psy
https://www.tsu.co/Aseris get money here !﻿,phishing,social,youtube,Youtube01-Psy
Fantastic!﻿,legitimate,social,youtube,Youtube01-Psy
The population of world is more than 7 billion﻿,legitimate,social,youtube,Youtube01-Psy
2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,legitimate,social,youtube,Youtube01-Psy
Wow 23 min ago﻿,legitimate,social,youtube,Youtube01-Psy
SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,legitimate,social,youtube,Youtube01-Psy
P E A C E  &amp;  L O V E  ! !﻿,legitimate,social,youtube,Youtube01-Psy
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,legitimate,social,youtube,Youtube01-Psy
Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,phishing,social,youtube,Youtube01-Psy
subscribe to me :) ﻿,phishing,social,youtube,Youtube01-Psy
Still the best. :D﻿,legitimate,social,youtube,Youtube01-Psy
The most liked video on YouTube...﻿,legitimate,social,youtube,Youtube01-Psy
Still watching this 2 years later? ﻿,legitimate,social,youtube,Youtube01-Psy
"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",phishing,social,youtube,Youtube01-Psy
"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",legitimate,social,youtube,Youtube01-Psy
2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,legitimate,social,youtube,Youtube01-Psy
GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,legitimate,social,youtube,Youtube01-Psy
Will this song ever reach 7 Billion Views?﻿,legitimate,social,youtube,Youtube01-Psy
"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",phishing,social,youtube,Youtube01-Psy
"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",legitimate,social,youtube,Youtube01-Psy
"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",legitimate,social,youtube,Youtube01-Psy
Can anyone sub to my channel? :D﻿,phishing,social,youtube,Youtube01-Psy
prehistoric song..has been﻿,legitimate,social,youtube,Youtube01-Psy
You think you're smart?        Headbutt your face.﻿,legitimate,social,youtube,Youtube01-Psy
DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,legitimate,social,youtube,Youtube01-Psy
Loool nice song funny how no one understands (me) and we love it﻿,legitimate,social,youtube,Youtube01-Psy
Like if you came here too see how many views this song has.﻿,legitimate,social,youtube,Youtube01-Psy
We pray for you Little Psy ♡﻿,legitimate,social,youtube,Youtube01-Psy
"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",legitimate,social,youtube,Youtube01-Psy
Follow me on Instagram. _chris_cz  ﻿,phishing,social,youtube,Youtube01-Psy
how is this shit still relevant ﻿,legitimate,social,youtube,Youtube01-Psy
LOL this shit never gets old﻿,legitimate,social,youtube,Youtube01-Psy
What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,legitimate,social,youtube,Youtube01-Psy
On 0:02 u can see the camera man on his glasses....﻿,legitimate,social,youtube,Youtube01-Psy
this comment is wrong﻿,legitimate,social,youtube,Youtube01-Psy
i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,legitimate,social,youtube,Youtube01-Psy
2:05. Hahahahah ﻿,legitimate,social,youtube,Youtube01-Psy
Can we reach 3 billion views by December 2014? ﻿,legitimate,social,youtube,Youtube01-Psy
"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",legitimate,social,youtube,Youtube01-Psy
"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",legitimate,social,youtube,Youtube01-Psy
The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿,legitimate,social,youtube,Youtube01-Psy
why I dont see any comments but mine?:/﻿,legitimate,social,youtube,Youtube01-Psy
this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,legitimate,social,youtube,Youtube01-Psy
